Spider,Mean Direction,Mean Length
s1,-2.790347289117989,0.6970017582348159
s2,0.06464286185484994,0.7550343606473188
s3,11.349970900861951,0.5843675155015359
s4,-22.211836204488314,0.8153432263623113
s6,11.485014211041031,0.6317360433934154
s7,-10.521874239497883,0.8274556943894266
s8,-10.896601704816735,0.7139128129458034
s9,1.2553412319581894,0.268833903956239
s10,-11.802829452921493,0.7058649643737356
s11,-38.78862696961002,0.8637199214089084
s12,-34.20094670438445,0.914548624564726
s14,-2.412824507280753,0.8033407487527651
s15,2.159652755620111,0.730764579086071
s16,16.092082575024435,0.47011220370310747
s17,11.041983318586931,0.6745907925095767
s18,2.345327184930275,0.282690677752724
s19,37.60785726978399,0.4987094746542268
s20,30.105129146784932,0.054569864240271736
s21,-22.008309911067926,0.27773616225158104
s22,1.474284576800919,0.5470495587571491
s23,5.215820651944691,0.6537321984747814
s24,-9.417144462382277,0.7904508264000766
s27,10.996321841510262,0.4844683776302446
s29,54.67044137765472,0.2839221723773498
s30,9.530775217184598,0.3563677839800864
s31,0.713272930147222,0.7625356195431392
s32,-16.211162394275654,0.7011345661237132
