Spider,Mean Direction,Mean Length
s1,-61.17957715968471,0.3613199683019029
s2,-77.20101608417185,0.5186962644097305
s3,-1.7523571341789208,0.43646328131310946
s4,-70.20185528884966,0.4038909564968651
s6,-14.414561209326235,0.18425341690795372
s7,-1.5809700640023496,0.3339921004815036
s8,-59.81271724102092,0.527223613604391
s9,11.981041522129745,0.31281827764022635
s10,1.7863347421046947,0.2366349008918937
s11,-84.33812079470192,0.27399315612462255
s12,-127.17395757732004,0.5681911519423896
s14,-46.06473168436911,0.39183127275250307
s15,-54.832656105387976,0.2995875131838092
s16,42.069365257532674,0.18129798706513905
s17,-90.9208163169833,0.37281183660848893
s18,-75.58233097666657,0.18533393712062837
s19,-60.55909381301362,0.2986049543617663
s20,-150.07978720570964,0.3221169139963088
s21,-74.83531453799627,0.5012796175455814
s22,3.455220024462817,0.21038346922331153
s23,-62.15954805476902,0.44366839608993824
s24,-62.02352427345547,0.3366497865237997
s27,-118.73228115476913,0.22223966997422406
s29,-94.74106804938678,0.32738283996616546
s30,-74.0349009949966,0.21183117298697562
s31,-9.825906066053244,0.3956372887543593
s32,-45.02156541101428,0.28792813203155726
