Spider	LS LD	LS LD FAP
MsA25-3225	12.0	1.815836040618201e-70
MsA25-3226	23.38669238187078	0.0
MsA25-3227	22.67734206066273	2.0117856290983554e-11
MsA25-3228	14.015459076789714	1.3825743596674615e-62
MsA25-3229	26.280528276329157	5.217920329557244e-32
MsA25-3230	24.360097934584722	1.384625078641265e-65
MsA25-3231	12.076185733847877	4.303173282012578e-37
MsA25-3232	12.0	1.235329823667869e-31
