Date_Time,lights,Monitor 1 Spider 1,Monitor 1 Spider 2,Monitor 1 Spider 3,Monitor 1 Spider 4,Monitor 1 Spider 5,Monitor 1 Spider 6,Monitor 1 Spider 7,Monitor 1 Spider 8,Monitor 1 Spider 9,Monitor 1 Spider 10,Monitor 1 Spider 11,Monitor 1 Spider 12,Monitor 1 Spider 13,Monitor 1 Spider 14,Monitor 1 Spider 15,Monitor 1 Spider 16,Monitor 1 Spider 17,Monitor 1 Spider 18,Monitor 1 Spider 19,Monitor 1 Spider 20,Monitor 1 Spider 21,Monitor 1 Spider 22,Monitor 1 Spider 23,Monitor 1 Spider 24,Monitor 1 Spider 25,Monitor 1 Spider 26,Monitor 1 Spider 27,Monitor 1 Spider 28,Monitor 1 Spider 29,Monitor 1 Spider 30,Monitor 1 Spider 31,Monitor 1 Spider 32
2017-04-21 00:11:00,0,0,0,0,0,5,3,0,0,10,0,0,2,0,0,0,0,0,0,0,16,0,0,0,5,0,0,0,4,2,0,0,0
2017-04-21 00:12:00,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,11,1,13,0,0,0
2017-04-21 00:13:00,0,0,0,0,0,11,0,0,0,4,0,0,5,0,0,0,0,0,0,0,3,0,0,0,5,0,0,2,7,3,0,0,0
2017-04-21 00:14:00,0,0,0,0,0,7,2,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,3,3,0,0,5
2017-04-21 00:15:00,0,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,3,6,0,0,9
2017-04-21 00:16:00,0,0,0,0,0,2,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,2
2017-04-21 00:17:00,0,0,0,0,0,52,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,8
2017-04-21 00:18:00,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,3,13,0,0,3
2017-04-21 00:19:00,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,5,7,0,0,0
2017-04-21 00:20:00,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,7,2,4,0,0,3
2017-04-21 00:21:00,0,0,0,0,0,18,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0
2017-04-21 00:22:00,0,0,0,0,2,26,0,16,0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,39,1,8,0,0,7
2017-04-21 00:23:00,0,0,0,0,0,6,0,22,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,5,2,3,0,0,8
2017-04-21 00:24:00,0,0,0,0,0,5,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,7,0,0,5
2017-04-21 00:25:00,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,9,0,7,0,0,5
2017-04-21 00:26:00,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,3,5,0,0,3
2017-04-21 00:27:00,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,6,5,0,0,8
2017-04-21 00:28:00,0,0,0,0,0,5,6,30,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,7,0,0,5
2017-04-21 00:29:00,0,0,0,0,0,8,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,8,0,0,14
2017-04-21 00:30:00,0,0,0,0,0,22,1,4,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,6,4,6,0,0,0
2017-04-21 00:31:00,0,0,0,0,0,3,3,1,0,0,0,0,45,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,4,4,0,0,4
2017-04-21 00:32:00,0,0,0,0,0,2,3,24,0,5,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,2,3,0,0,12
2017-04-21 00:33:00,0,0,0,0,0,3,3,4,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,15,6,11,0,0,16
2017-04-21 00:34:00,0,0,0,0,0,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,0,6,4,4,0,0,14
2017-04-21 00:35:00,0,0,0,0,0,0,0,14,0,15,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,3,3,0,0,0
2017-04-21 00:36:00,0,0,0,0,0,27,0,0,0,5,0,0,4,0,0,0,0,0,0,0,9,0,0,0,2,0,0,3,3,9,0,0,0
2017-04-21 00:37:00,0,0,0,0,0,27,0,30,0,4,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,3,0,0,3
2017-04-21 00:38:00,0,0,0,0,0,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,6,0,0,3
2017-04-21 00:39:00,0,0,0,0,0,3,13,0,0,3,0,0,6,0,0,0,0,0,0,0,7,0,0,0,4,0,0,23,0,0,0,0,12
2017-04-21 00:40:00,0,0,0,0,0,5,4,8,0,2,0,0,0,0,0,0,0,0,0,0,18,0,1,0,3,0,0,8,0,6,0,0,17
2017-04-21 00:41:00,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,3,0,3,0,2,0,0,19
2017-04-21 00:42:00,0,0,0,0,0,2,9,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,4,4,0,0,0,4,0,0,17
2017-04-21 00:43:00,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,7,0,4,0,5,0,0,17
2017-04-21 00:44:00,0,0,0,0,0,0,0,14,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,8,0,0,12
2017-04-21 00:45:00,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,5,0,8,0,0,2
2017-04-21 00:46:00,0,0,0,0,0,0,0,8,0,10,0,0,3,0,0,0,0,0,0,0,17,0,0,0,1,2,0,8,0,8,0,0,0
2017-04-21 00:47:00,0,0,0,0,0,0,3,16,0,4,0,0,1,0,0,0,0,0,0,0,8,0,0,0,1,3,0,5,0,6,0,25,19
2017-04-21 00:48:00,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,13,0,4,0,16,0,0,3
2017-04-21 00:49:00,0,0,0,0,0,0,8,6,0,15,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,2,0,3,0,1,1
2017-04-21 00:50:00,0,0,0,9,0,9,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,5,0,33,0
2017-04-21 00:51:00,0,0,0,3,0,1,1,7,0,5,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,3,0,0,0,2,0,5,1
2017-04-21 00:52:00,0,0,0,0,0,2,3,5,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,23,1,0,3,0,2,0,1,1
2017-04-21 00:53:00,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,9,3,0,9,0,8,0,2,2
2017-04-21 00:54:00,0,0,0,8,0,0,0,16,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,21,4,0,0,0,3,0,0,1
2017-04-21 00:55:00,0,0,0,5,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,8,0,5,0,2,0,7,4
2017-04-21 00:56:00,0,0,0,0,0,0,4,0,14,6,0,0,2,0,0,0,0,0,0,0,23,0,0,0,5,1,0,9,0,8,0,1,7
