Index,Day,Time,Light,Sp4,Sp5,Sp9,Sp10,Sp11,Sp12,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp21,Sp25
19741,1,2024-05-01 08:43:00,1,5,0,0,6,0,0,0,1,0,3,0,0,0,0
19742,1,2024-05-01 08:44:00,1,9,3,0,3,0,0,0,2,0,0,0,0,0,0
19743,1,2024-05-01 08:45:00,1,10,2,0,5,0,0,0,0,0,0,0,0,0,0
19744,1,2024-05-01 08:46:00,1,0,10,0,0,0,0,0,0,0,0,0,0,3,0
19745,1,2024-05-01 08:47:00,1,0,19,0,0,0,0,0,1,0,4,0,0,4,0
19746,1,2024-05-01 08:48:00,1,0,3,0,0,0,0,0,4,0,2,0,0,7,0
19747,1,2024-05-01 08:49:00,1,0,1,0,0,0,0,0,2,0,1,0,0,3,0
19748,1,2024-05-01 08:50:00,1,0,4,0,0,0,0,0,2,0,2,0,0,3,0
19749,1,2024-05-01 08:51:00,1,0,6,0,0,0,0,0,7,0,2,0,0,7,0
19750,1,2024-05-01 08:52:00,1,0,1,0,0,0,0,0,0,0,3,0,0,3,0
19751,1,2024-05-01 08:53:00,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19752,1,2024-05-01 08:54:00,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0
19753,1,2024-05-01 08:55:00,1,0,0,0,0,0,0,0,4,0,0,0,0,4,0
19754,1,2024-05-01 08:56:00,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
19755,1,2024-05-01 08:57:00,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0
19756,1,2024-05-01 08:58:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19757,1,2024-05-01 08:59:00,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
19758,1,2024-05-01 09:00:00,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0
19759,1,2024-05-01 09:01:00,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
19760,1,2024-05-01 09:02:00,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0
19761,1,2024-05-01 09:03:00,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0
19762,1,2024-05-01 09:04:00,1,0,0,0,0,0,3,0,6,0,0,0,2,0,0
19763,1,2024-05-01 09:05:00,1,0,2,0,2,0,0,0,0,0,0,8,0,0,0
19764,1,2024-05-01 09:06:00,1,0,0,0,6,0,0,0,0,0,0,1,2,0,0
19765,1,2024-05-01 09:07:00,1,0,3,0,3,0,4,0,5,0,0,0,1,0,0
19766,1,2024-05-01 09:08:00,1,0,4,0,4,0,2,0,0,0,0,0,0,0,0
19767,1,2024-05-01 09:09:00,1,0,10,0,6,0,6,0,0,0,0,2,2,0,0
19768,1,2024-05-01 09:10:00,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
19769,1,2024-05-01 09:11:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19770,1,2024-05-01 09:12:00,1,0,0,0,0,0,1,0,3,0,0,0,2,0,0
19771,1,2024-05-01 09:13:00,1,0,0,0,0,0,5,0,4,0,0,0,0,0,0
19772,1,2024-05-01 09:14:00,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0
19773,1,2024-05-01 09:15:00,1,0,0,0,0,0,3,0,5,0,0,0,0,0,0
19774,1,2024-05-01 09:16:00,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
19775,1,2024-05-01 09:17:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19776,1,2024-05-01 09:18:00,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
19777,1,2024-05-01 09:19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19778,1,2024-05-01 09:20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19779,1,2024-05-01 09:21:00,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
19780,1,2024-05-01 09:22:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19781,1,2024-05-01 09:23:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19782,1,2024-05-01 09:24:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19783,1,2024-05-01 09:25:00,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0
19784,1,2024-05-01 09:26:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19785,1,2024-05-01 09:27:00,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
19786,1,2024-05-01 09:28:00,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0
19787,1,2024-05-01 09:29:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19788,1,2024-05-01 09:30:00,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
19789,1,2024-05-01 09:31:00,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
19790,1,2024-05-01 09:32:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19791,1,2024-05-01 09:33:00,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0
19792,1,2024-05-01 09:34:00,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
19793,1,2024-05-01 09:35:00,1,0,0,4,0,0,0,0,7,0,0,0,0,0,0
19794,1,2024-05-01 09:36:00,1,0,0,4,0,0,0,0,2,0,1,0,0,0,0
19795,1,2024-05-01 09:37:00,1,0,0,7,0,0,0,0,0,0,2,0,0,0,0
19796,1,2024-05-01 09:38:00,1,0,0,3,0,0,0,0,8,0,2,0,0,0,0
19797,1,2024-05-01 09:39:00,1,0,0,3,0,0,4,0,0,0,4,0,0,0,0
19798,1,2024-05-01 09:40:00,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
19799,1,2024-05-01 09:41:00,1,0,0,3,0,0,0,0,12,0,2,0,0,0,0
19800,1,2024-05-01 09:42:00,1,0,0,5,0,0,0,0,0,0,2,0,0,0,0
19801,1,2024-05-01 09:43:00,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
19802,1,2024-05-01 09:44:00,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0
19803,1,2024-05-01 09:45:00,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
19804,1,2024-05-01 09:46:00,1,0,0,0,0,0,0,0,3,0,4,0,0,4,0
19805,1,2024-05-01 09:47:00,1,0,0,0,0,0,0,0,8,0,3,0,0,5,0
19806,1,2024-05-01 09:48:00,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0
19807,1,2024-05-01 09:49:00,1,0,0,0,0,13,7,10,5,0,0,0,0,2,0
19808,1,2024-05-01 09:50:00,1,0,0,0,0,8,2,10,4,0,0,0,0,1,0
