Spider	LS LD	LS LD FAP	LS DD	LS DD FAP
MsA1	23.34633842318479	3.937189888802596e-48	23.616164082529608	4.6813787774638525e-160
MsA2	24.020006412311634	5.221883753358033e-94	24.122708567153015	8.312623760951042e-93
MsA3	12.0	5.4631597167304455e-08	22.417429597867656	5.5801871863816655e-42
MsA4	14.860633950886658	2.858146017687798e-25	15.735784592857723	1.0
MsA5	24.53445113963846	9.585421232733591e-75	23.645031169783643	2.748987044301807e-216
MsA6	23.33325028030397	6.871656117526049e-54	23.82559428501047	5.50136920154618e-148
MsA7	24.187512106928395	9.424088207918407e-70	24.67976524623628	3.738213273749097e-117
MsA8	23.473618247900735	0.04494378875404188	21.84035226374619	2.1758175139467103e-131
MsA9	23.700854160075927	2.108157033343371e-56	23.410383637903905	1.9986352873554694e-123
MsA10	23.85936305732484	1.9275936769832506e-125	23.805070145212895	2.0530258503174285e-158
MsA11	25.95745270598018	5.274715556357169e-13	22.76032474408754	1.8135250709270382e-98
MsA12	25.076449323872	3.3278753253263083e-44	23.82266009852217	6.079653283709194e-63
MsA13	24.08951768488746	9.888362016149065e-24	23.404718693284934	5.130698940237339e-104
MsA14	22.468330134357004	4.858606288493918e-25	21.984316399590863	3.5664587989427033e-239
MsA15	46.67231497632694	9.29078788969161e-26	24.876543209876544	1.2742696184449946e-189
